Metric,Mean,Interval
0,1.05,0.21794494717703372
1,3.5599999999999996,0.35049171808253116
2,1.2,0.5099019513592785
3,1.75,1.5124483462254175
4,3.2,0.39999999999999997
5,4.3,0.45825756949558405
