NumberOfNodes,Mean,Interval
3,290.1142857142857,23.513433845357422
6,370.9428571428571,27.626342588189267
9,405.00714285714287,28.605960518745036
12,413.57042253521126,29.85196895234996
15,419.59154929577466,26.750302934311936
