NumberOfNodes,1-mean,1-interval,2-mean,2-interval,3-mean,3-interval,4-mean,4-interval,5-mean,5-interval,6-mean,6-interval,7-mean,7-interval,8-mean,8-interval,9-mean,9-interval,10-mean,10-interval,11-mean,11-interval,12-mean,12-interval,13-mean,13-interval,15-mean,15-interval
3,1.7673283829392845,0.015474945413954709,7.7515769924814446,0.052862377653655791,13.104327511343744,0.080910014527003374,16.703205390927707,0.12168287405601499,20.010703063947915,0.22080961618971304,23.134908303565986,0.52673193646917171,26.204959619094616,1.6448198716178439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.5925720092934352,0.014071588297918523,6.0650320110821827,0.045274516195782009,9.8813227740881437,0.06568176561762161,13.005435463042717,0.08784204590623268,15.474889593920459,0.10910142388094844,18.089605404348948,0.16526418732085554,20.281169857488774,0.30087591831162719,22.706877897337961,0.6800398584402253,21.925778380575679,3.0811567775437636,0,0,0,0,0,0,0,0,0,0
9,1.5732437748394987,0.013902361739125344,5.7604492364124029,0.044759475533627913,8.8699093731731544,0.06220286918952387,11.534677205197648,0.077500402981310001,13.759443096276703,0.095563601918627158,15.271696877531708,0.11260239709508635,17.348212927023095,0.17181847248326568,19.293828968556632,0.31187978448283155,21.832862878253529,0.69678843087754117,25.190788933053909,3.40973112502938,0,0,179.83303293101471,0,0,0,520.15694396897061,0
12,1.5481856880074834,0.013774998372096533,5.4437725832030655,0.041645048951544354,8.2643422454186091,0.059556313448348198,10.771451904392908,0.07601466064735414,12.400325973349506,0.086581390749561837,13.882178678326207,0.099067873334396761,15.742472472605565,0.13318322055461093,18.063047210130588,0.22059714790401105,20.056746834878879,0.49719104650125712,22.023818435022406,1.2653843831757077,22.156003531999129,3.5923651903068485,20.297407452186565,10.795473728666424,0,0,0,0
15,1.4861824247157869,0.013217387017145525,5.4803555422627728,0.042280900359812919,8.3348867316576634,0.059340120270437439,10.538867278814475,0.072187809515135412,12.025206103118673,0.082166023371729513,13.438570775069998,0.096212993447754636,15.154332076006177,0.12140372023472193,16.799974477368163,0.18619583608121948,18.357297039939969,0.36192485467011587,20.819015927517043,0.96142066125989523,29.193091927716754,7.3318876271546047,0,0,641.69932071604308,0,0,0
