NumberOfNodes,Mean,Interval
3,11623.085714285715,655.0226818521629
6,13209.442857142858,602.1362295069114
9,14122.085714285715,532.6656795672124
12,14553.323943661971,438.32022590653634
15,14806.591549295774,377.1019134603861
