NumberOfNodes,Mean,Interval
3,304.3857142857143,23.513433845357422
6,223.55714285714285,27.626342588189267
9,189.49285714285713,28.605960518745036
12,180.92957746478874,29.85196895234996
15,174.90845070422534,26.750302934311936
