NumberOfNodes,Mean,Interval
3,148.4857142857143,19.765570388936418
6,143.27142857142857,19.762364352475643
9,139.4142857142857,19.719217144704302
12,140.29577464788733,20.175068787838182
15,137.19718309859155,20.17503952711357
