NumberOfNodes,Mean,Interval
3,27011.871428571427,49.564222306014244
6,41917.77142857143,112.84994318474422
9,56877.0,266.50560621495373
12,71505.64788732394,253.376348790144
15,86247.61971830986,246.49704167950551
