NumberOfNodes,Mean,Interval
3,1.1285714285714286,0.136721614969982
6,1.3714285714285714,0.28047958927522687
9,1.5857142857142856,0.2976252677445247
12,2.028169014084507,0.42223415843920503
15,2.563380281690141,0.5826455224910481
