NumberOfNodes,Mean,Interval
3,6.102687436725237,0.018509577673816658
6,5.421170230285989,0.0131078575639294
9,4.860961688010741,0.01021311849122101
12,4.405199970279721,0.008285618719219845
15,4.1956379468320995,0.007088195631276824
