NumberOfNodes,1,2,3,4,5,6,7,8,9,10,11,12,13,15
3,40.4,23.442857142857143,18.785714285714285,10.842857142857143,3.5076923076923077,0.9117647058823529,0.8,0,0,0,0,0,0,0
6,33.05714285714286,19.542857142857144,16.185714285714287,12.342857142857143,9.485714285714286,4.391304347826087,1.816326530612245,0.6086956521739131,0.0,0,0,0,0,0
9,31.1,17.242857142857144,14.642857142857142,12.014285714285714,9.5,7.257142857142857,3.343283582089552,1.4565217391304348,0.6666666666666666,0.0,0,0.0,0,0.0
12,29.535211267605632,17.676056338028168,13.788732394366198,11.112676056338028,9.450704225352112,7.647887323943662,4.869565217391305,2.2033898305084745,0.7333333333333333,0.15384615384615385,0.0,0.0,0,0
15,28.295774647887324,16.87323943661972,13.774647887323944,11.43661971830986,9.774647887323944,7.661971830985915,5.23943661971831,2.484848484848485,0.9285714285714286,0.3076923076923077,0.0,0,0.0,0
