NumberOfNodes,1,2,3,4,5,6,7
3,77.92857142857143,16.957142857142856,3.462686567164179,0.6666666666666666,0.5,0,0
6,74.81428571428572,17.314285714285713,5.4,0.8571428571428571,0.4,0,0
9,73.78571428571429,16.014285714285716,6.6,1.4696969696969697,0.21739130434782608,0.0,0
12,74.70422535211267,14.732394366197184,6.535211267605634,1.8153846153846154,0.23684210526315788,0.0,0.0
15,77.02816901408451,12.929577464788732,6.169014084507042,1.4857142857142858,0.19148936170212766,0.1,0
