NumberOfNodes,Mean,Interval
3,25.6428571428571,2.6332018532577406
6,19.6571428571429,2.232948902236681
9,16.4142857142857,2.051654161889864
12,16.0422535211268,1.8049257602252127
15,15.0985915492958,1.6439403770474652
