NumberOfNodes,Mean,Interval
3,23479.071428571428,339.6407440222683
6,38275.45714285714,332.8635046429692
9,52678.21428571428,423.575004465561
12,66497.0985915493,456.5760213292389
15,80641.26760563381,495.82290971019574
