NumberOfNodes,Mean,Interval
3,48.79971164243662,3.9551612860147043
6,62.39577075573712,4.64698781971224
9,68.12567583803917,4.811767959418845
12,69.56609294116254,5.021357267005881
15,70.57889811535318,4.499630434703437
