NumberOfNodes,Mean,Interval
3,7.918923850246071,0.029990220059568817
6,7.888493669174309,0.026509348462754698
9,7.7881305143090165,0.024599707771369734
12,7.517727422327377,0.022992385133251667
15,7.600901325364646,0.02266786210556346
