NumberOfNodes,Mean,Interval
3,3.41428571428571,0.24884694090946746
6,4.72857142857143,0.23400170939546575
9,5.42857142857143,0.3487577956117971
12,5.66197183098592,0.37230506047639533
15,5.64788732394366,0.36225196005171195
