NumberOfNodes,1-mean,1-interval,2-mean,2-interval,3-mean,3-interval,4-mean,4-interval,5-mean,5-interval,6-mean,6-interval,7-mean,7-interval
3,4.5939655912704422,0.017000602998637752,10.707887588989109,0.057875309170865995,14.661381805308576,0.15118902160064024,16.91638884170186,0.48665544858144377,18.396248346619114,1.751619051823504,0,0,0,0
6,3.8509843179843868,0.011569108170402576,9.2204231030880237,0.040132782298012808,12.305663373152909,0.084955004717265456,14.843217069630565,0.24194191280606619,20.318351482880917,0.8687174621071162,0,0,0,0
9,3.3199636980536975,0.0086427310867805123,8.4327292750943403,0.033105486562380715,10.417036211913606,0.059212691072635569,12.36232980537649,0.13068044964214112,13.368359980591462,0.38730935694075752,13.181188888387213,6.9721103273226985,0,0
12,3.0049158220405965,0.0068437347782564738,7.6819716777499263,0.028370900971618776,9.6384213564784922,0.049819553894828714,11.796895894588632,0.10584969821405912,13.568946469345073,0.2867350532485648,17.88493192204368,1.8155246917189962,17.839109329957612,2.1533896580829524
15,2.946125432911725,0.0057938606714757705,7.6061960853150978,0.026809668183781447,9.3402474881766508,0.045016202344367921,11.289608771787575,0.094352459713126349,12.857226215668149,0.2625998009766104,14.660546279522135,0.879993977968066,0,0
